level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,35,-69069.0,1000,17,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,36,2045.0,79,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,37,-185895.0,1000,3,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,38,-78868.0,1000,22,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,39,-42584.0,1000,8,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,20,-144174.0,1000,7,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,21,-10171.0,1000,3,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,22,-976.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,23,-36174.0,1000,17,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,24,-11570.0,1000,3,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,25,-197380.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,26,-976.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,27,-3795.0,726,1,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,28,2092.0,33,0,1
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,29,-23768.0,1000,7,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,30,-145670.0,1000,10,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,31,-57984.0,1000,19,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,32,-78374.0,1000,10,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,33,-139581.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,34,-87984.0,1000,34,0
